question,choices,answer
Brown tümör olarak bilinen çoklu kemik lezyonları olan bir hastada aşağıdakilerden hangisinin görülme olasılığı en düşüktür?,"A) Osteitis fibroza sistika 
 B) Nefrokalsinozis 
 C) Osteoporoz 
 D) Metastatik kalsifikasyon 
 E) Tetani",E
"Özgeçmişinde 40 yıldır süregelen görme kaybı ve değişken paralizi atakları olan 63 yaşındaki kadın, trafik kazasında eksitus oluyor. Otopsi incelemesinde, beyinde periventriküler beyaz cevherde ve medulla spinalis beyaz cevherinde bir kısmı sklerotik, bir kısmı gri renkte çok sayıda düzensiz şekilli plak saptanıyor. 
 Bu lezyonların mikroskopik incelemesinde aşağıdaki bulgulardan hangisinin saptanması en olasıdır?","A) Miyelin kaybı 
 B) Kapiller damar duvarlarında amiloid birikimi 
 C) Nöropilde vakuoler dejenerasyon 
 D) Nörofibriler yumaklar 
 E) Nöronlarda sitoplazmik inklüzyonlar",A
"Yirmi beş yaşındaki erkek hasta; ani başlangıçlı şiddetli baş ağrısı, baş dönmesi, bulantı, kusma ve bulanık görme ile acil servise başvuruyor. Hastanın anamnezinden akut promiyelositik lösemi tedavisi altında olduğu öğreniliyor. 
 Bu hastanın mevcut klinik durumunu açıklayan
 en olası patolojik süreç aşağıdakilerden hangisidir?","A) Niasin toksisitesi 
 B) A vitamini toksisitesi 
 C) Piridoksin toksisitesi 
 D) D vitamini toksisitesi 
 E) Pantotenik asit toksisitesi",B
"Aşağıdaki hastalıkların hangisinin gelişiminde,
 Tip III hipersensitivite reaksiyonu temel mekanizma değildir?","A) Akut romatizmal ateş 
 B) Poststreptokoksik glomerulonefrit 
 C) Poliarteritis nodoza 
 D) Sistemik lupus eritematozus 
 E) Serum hastalığı",A
"Timusta ""self"" reaktif lenfositlerin negatif seleksiyon ile ölmesi aşağıdakilerden hangisi aracılığıyla olur?","A) Nekroz 
 C) Nekroptoz 
 B) Makrofaj fagositozu 
 D) Apoptoz 
 E) Piroptoz",D
"Vücut boşluklarına direkt implantasyon – Over kanseri
 Lenfatikler yoluyla yayılım – Meme kanseri 
 Hematojen yol ile yayılım – Beyin tümörü 
  Kanserin yayılım yolları ile ilgili yukarıdaki eşleştirmelerden hangileri doğrudur?","A) Yalnız I 
 B) Yalnız III 
 C) I ve II 
 D) II ve III 
 E) I, II ve III",C
"On sekiz yaşındaki kadın hasta solunum sıkıntısı, öksürük ve gece terlemesi şikâyetleriyle başvuruyor. Radyolojik incelemede mediasteni genişleten bir kitle tespit ediliyor. Kitleden alınan kor biyopsinin incelemesinde matür lenfositler, histiyositler, eozinofiller ve plazma hücrelerinden oluşan polimorfik zemin içinde multinükleer veya multilobüler nükleuslu atipik hücreler izleniyor. İmmünhistokimyasal çalışmalarda atipik hücrelerin CD3 ve CD20 ile negatif; Pax5, CD15 ve CD30 ile pozitif boyanma gösterdiği saptanıyor. 
 Bu hasta için en olası tanı aşağıdakilerden hangisidir?","A) Nodüler sklerozan Hodgkin lenfoma 
 B) Lenfoblastik lenfoma 
 C) Büyük B hücreli lenfoma 
 D) Timoma 
 E) Granülositik sarkom",A
"Çölyak hastalığında, intraepitelyal lenfositlerin çoğunluğunun aşağıdakilerden hangisini bulundurması beklenir?","A) CD15 
 B) CD4 
 C) CD8 
 D) CD20 
 E) CD30",C
Aşağıdakilerden hangisi erken evre mide karsinomu olarak sınıflandırılır?,"A) Lenf nodu metastazı olmayan muskularis propriaya invaze kanser 
 
 B) Lenf nodu metastazı olmayan serozaya ulaşmış kanser 
 
 C) Lenf nodu metastazı olan submukozaya ulaşmış kanser 
 
 D) Lenf nodu metastazı olmayan subserozal kanser 
 
 E) Lenf nodu metastazı olan muskularis propriaya invaze kanser",C
"Portal hipertansiyona ikincil semptomlar ile getirilen 14 yaşındaki erkek çocuğun karaciğer biyopsisinde, parankimi düzensiz bir şekilde bölen kalın kollajenöz septalarla genişlemiş portal alanlar ve kenarında safra yollarıyla devamlılık gösteren anormal şekilli safra kanalları izleniyor. 
 Bu olgunun klinikopatolojik ayırıcı tanısında ön planda düşünülmesi gereken hastalık aşağıdakilerden hangisidir?","A) Wilson hastalığı 
 B) Caroli hastalığı 
 C) Kistik fibrozis 
 D) Konjenital hepatik fibrozis 
 E) Ekstrahepatik biliyer atrezi",D
"Sildenafil, PDE5 enzimini inhibe ederek damar düz kas hücresinde aşağıdakilerden hangisinin artışına neden olur?","A) Adenozin 
 C) cAMP 
 B) Guanozin 
 D) cGMP 
 E) cADP riboz",D
Şiddetli göz kuruluğunun tedavisinde aşağıdaki ilaçlardan hangisinin oftalmik solüsyonu kullanılır?,"A) Azatioprin 
 C) Siklosporin 
 B) Merkaptopürin 
 D) Sikloserin 
 E) Psödoefedrin",C
Migren profilaksisinde kullanılan ve tremorları azaltmada da etkili olan adrenerjik reseptör blokörü aşağıdakilerden hangisidir?,"A) Propranolol 
 C) Albuterol 
 B) Karvedilol 
 D) Ritodrin 
 E) Metaraminol",A
Aşağıdakilerden hangisinin hem sempatik sistem aktive olduğunda hem de intravenöz yoldan noradrenalin verildiğinde ortaya çıkması en olasıdır?,"A) El ve ayaklarda terlemede azalma 
 B) Refleks taşikardi 
 C) Vagal tonusta azalma 
 D) Miyozis 
 E) Sistolik arter basıncı artışı",E
"I. Timolol
 II. Fizostigmin 
 III. Diklorfenamid 
 Yukarıdakilerden hangileri kronik açık açılı glokom tedavisinde göz damlası şeklinde kullanılabilir?","A) II ve III 
 B) I ve II 
 D) Yalnız II 
 C) I ve III 
 E) Yalnız III",B
"Geri dönüşümsüz görme kaybı yaptığı için, sadece tedaviye dirençli hastalarda kullanılması uygun görülen antiepileptik ilaç aşağıdakilerden hangisidir?","A) Vigabatrin 
 B) Gabapentin 
 C) Levetirasetam 
 D) Topiramat 
 E) Perampanel 
 E) Valproik asit",A
Anestezi uygulanması planlanan Parkinson hastalarında aşağıdakilerden hangisi kullanılmamalıdır?,"A) Difenhidramin 
 C) Droperidol 
 E) Atropin 
 B) Atraküryum 
 D) Propofol",C
"Merkezi sinir sistemi stimulanı olan metilfenidatın aşağıdaki yan etkilerden hangisine yol açması
 en az olasıdır?","C) Baş ağrısı 
 B) İştah artışı 
 D) Çarpıntı 
 E) Uykusuzluk 
 A) İrritabilite",B
Aşağıdakilerden hangisi migrenin profilaktik tedavisinde kullanılan ilaçlardan değildir?,"E) Valproik asit 
 A) Propranolol 
 C) Topiramat 
 B) Felbamat 
 D) Verapamil",B
Aşağıdaki antiromatizmal ilaçlardan hangisinin kullanımı sırasında hasta retinal toksisite açısından takip edilmelidir?,"A) Metotreksat 
 C) Sülfasalazin 
 B) Leflunomid 
 D) Hidroksikloroki 
 E) Azatioprin",D
Aşağıdaki ilaçlardan hangisi kronik tromboembolik pulmoner hipertansiyon ve pulmoner arteriyel hipertansiyon tedavisinde kullanılan çözünebilir guanilil siklaz aktivatörüdür?,"A) Prostasiklin 
 C) Nesiritid 
 B) Riosiguat 
 D) Ambrisentan 
 E) Aliskiren",B
"Brugada sendromu tanısı konmuş bir hastada 24 saat içerisinde dört kez ventriküler taşikardi atağı gözleniyor. 
 Bu hastanın tedavisi için en uygun antiaritmik ilaç aşağıdakilerden hangisidir?","C) Flekainid 
 B) Verapamil 
 D) Propafenon 
 E) Kinidin 
 A) Lidokain",E
Fraksiyone olmayan heparine bağlı gelişen toksisitede 200 U heparini nötralize etmek için kaç miligram protamin sülfat kullanılmalıdır?,"A) 1 
 B) 2 
 C) 5 
 D) 10 
 E) 20",E
Aşağıdaki tetrasiklinlerden hangisinin eliminasyon yarılanma ömrü diğerlerine göre daha uzundur?,"A) Tetrasiklin 
 B) Oksitetrasiklin 
 C) Klortetrasiklin 
 D) Doksisiklin 
 E) Demeklosiklin",D
Aşağıdaki sefalosporin grubu antibiyotiklerden hangisi metisiline dirençli Staphylococcus aureus enfeksiyonlarının tedavisinde kullanılabilir?,"A) Seftarolin 
 C) Sefepim 
 B) Seftazidim 
 D) Seftriakson 
 E) Sefoperazon",A
Dışkısında Strongyloides stercoralis larvaları saptanmış bir hastanın tedavisi için en uygun seçenek aşağıdakilerden hangisidir?,"C) Metronidazol 
 B) İvermektin 
 D) Deltametrin 
 E) Pirimetamin 
 A) Spiramisin",B
“Immune checkpoint” inhibitörü olan ipilimumab ile ilgili aşağıdaki ifadelerden hangisi doğrudur?,"A) T hücresindeki CTLA-4’e bağlanıp inhibe ederek etki gösterir. 
 
 B) T hücresindeki PD-1’e bağlanıp inhibe ederek etki gösterir. 
 
 C) T hücresindeki PD-L1’e bağlanıp aktive ederek etki gösterir. 
 
 D) T hücresindeki CTLA-4’e bağlanıp aktive ederek etki gösterir. 
 
 E) T hücresindeki PD-1’e bağlanıp aktive ederek etki gösterir.",A
Öncelikle hepatik glukoneogenezi inhibe ederek hepatik glukoz çıkışını azaltma etkisine sahip oral antidiyabetik ilaç aşağıdakilerden hangisidir?,"A) Metformin 
 C) Akarboz 
 B) Empagliflozin 
 D) Repaglinid 
 E) Glimepirid",A
Akromegali tedavisinde kullanılan ancak hipofizde mevcut olan adenomun büyümesine sebep olabilen ajan aşağıdakilerden hangisidir?,"A) Lanreotid 
 C) Pegvisomant 
 B) Oktreotid 
 D) Pasireotid 
 E) Kabergolin",C
"Yüksek dozda sülfonilüre grubu bir ilaç alan hastada aşağıdaki bulgu çiflerinden hangisinin görülmesi
 en az olasıdır?","A) Taşikardi ve hipertansiyon 
 B) Dizartri ve nöbet 
 C) Hipoglisemi ve bilinç bulanıklığı 
 D) Midriyazis ve üriner retansiyon 
 E) Mental durum değişikliği ve terleme",D
Aşağıdaki diüretik ilaçlardan hangisinin akciğer ödemine neden olması en olasıdır?,"A) Furosemid 
 C) Hidroklorotiazid 
 B) Mannitol 
 D) Asetazolamid 
 E) Spironolakton",B
"Akne vulgaris nedeniyle oral izotretinoin tedavisi alan bir kadın hastaya, ilacın kesilmesinden sonra en az ne kadar süreyle etkili bir yöntemle doğum kontrolü önerilir?","B) 2 yıl 
 C) 6 ay 
 D) 1 ay 
 E) 1 hafta 
 A) 1 yıl",D
